iter	RMSE
0	494720.3294
1	440411.5692
2	417650.4261
3	401528.0984
4	361095.699
5	329453.4207
6	313218.6175
7	289875.0961
8	273377.5837
9	257128.519
10	247834.5065
11	231997.2337
12	219017.5114
13	208886.1355
14	199628.1955
15	196165.9119
16	186842.6589
17	178538.9703
18	170289.201
19	168354.2362
20	160725.7536
21	154898.4755
22	147710.9767
23	143104.3536
24	140661.4575
25	136937.6346
26	132743.8687
27	130677.9803
28	127557.5845
29	125546.2496
30	123310.5728
31	121513.3576
32	119555.9011
33	116349.3575
34	114872.0105
35	112642.1951
36	111297.4325
37	109721.5772
38	108047.6424
39	106419.5436
40	105220.4342
41	102936.3821
42	101776.5416
43	100352.183
44	99661.68961
45	98189.84004
46	97285.38965
47	96025.9476
48	95265.29724
49	93946.45257
50	93045.67961
51	91922.48009
52	91063.85892
53	90175.2134
54	89464.15302
55	88709.97091
56	88121.35196
57	87262.28006
58	86700.30825
59	85987.4022
60	85054.35564
61	84395.45536
62	83390.22246
63	82853.09216
64	82317.17901
65	81262.88142
66	80875.22399
67	80220.63462
68	79465.49137
69	78816.14025
70	78444.64065
71	77996.09102
72	77089.0786
73	76395.851
74	76098.3193
75	75723.42552
76	75338.33037
77	74742.72908
78	74096.3226
79	73657.68241
80	73354.31138
81	72912.60442
82	72322.12425
83	71895.75292
84	71585.42695
85	71155.09812
86	70825.55878
87	70563.45964
88	70061.18064
89	69651.91315
90	69457.88088
91	69169.52171
92	68526.93734
93	68280.76383
94	67914.01231
95	67645.20722
96	67395.99662
97	66961.45525
98	66652.87682
99	66313.14114
