iter	Passed	Remaining
0	152	15088
1	157	7725
2	162	5256
3	167	4020
4	172	3275
5	177	2781
6	181	2417
7	185	2136
8	189	1911
9	192	1731
10	196	1589
11	200	1473
12	205	1373
13	208	1278
14	210	1194
15	213	1120
16	216	1055
17	218	996
18	221	943
19	223	895
20	226	850
21	228	809
22	231	775
23	233	740
24	236	708
25	238	679
26	241	652
27	243	626
28	245	602
29	248	579
30	250	556
31	252	536
32	254	516
33	256	497
34	258	479
35	259	462
36	261	445
37	263	429
38	265	414
39	267	400
40	269	387
41	270	374
42	273	362
43	275	350
44	277	338
45	279	327
46	280	316
47	282	306
48	284	296
49	286	286
50	288	277
51	290	268
52	292	259
53	294	250
54	296	242
55	298	234
56	300	226
57	302	218
58	304	211
59	306	204
60	307	196
61	309	189
62	311	183
63	313	176
64	315	169
65	316	163
66	318	157
67	320	150
68	322	144
69	324	138
70	326	133
71	327	127
72	329	121
73	331	116
74	333	111
75	335	105
76	337	100
77	338	95
78	340	90
79	342	85
80	344	80
81	347	76
82	348	71
83	350	66
84	352	62
85	354	57
86	356	53
87	358	48
88	360	44
89	362	40
90	363	35
91	365	31
92	367	27
93	369	23
94	371	19
95	373	15
96	375	11
97	377	7
98	379	3
99	381	0
